actors,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,year,movies
Samuel L. Jackson,6.46857142857143,6.5293975878665425,6.381008204597762,2014.8857142857144,35
Akshay Kumar,6.1000000000000005,6.0733540229198955,5.911961708396602,2014.5,32
Bruce Willis,5.5699999999999985,5.855863678999259,5.5723037709075856,2014.6333333333334,30
James Franco,6.143333333333333,6.247822628379959,6.104468140280903,2013.8333333333333,30
Nicolas Cage,5.566666666666666,5.791581922932452,5.560383839577061,2014.8666666666666,30
Anna Kendrick,6.268965517241381,6.366407932773239,6.15612324894991,2014.3793103448277,29
Woody Harrelson,6.687999999999997,6.657351237451247,6.576839899669677,2015.32,25
J.K. Simmons,6.712,6.608854535570506,6.6146899120043505,2015.16,25
Michael Peña,6.323999999999999,6.3693667011467605,6.235646394173419,2015.04,25
Michael Shannon,6.5125,6.528347079673843,6.4068031949234845,2014.3333333333333,24
Jessica Chastain,6.733333333333334,6.692890971770609,6.650505572558701,2014.25,24
Morgan Freeman,6.429166666666667,6.426806900554644,6.341693627330796,2014.6666666666667,24
Kristen Wiig,6.6625000000000005,6.686548975904947,6.578270591223546,2013.5416666666667,24
Robert De Niro,6.329166666666667,6.254965068116025,6.282519106509258,2013.375,24
Antonio Banderas,6.216666666666665,6.181026782386696,6.136939978036756,2014.25,24
Dwayne Johnson,6.36086956521739,6.403348996991301,6.256121808534919,2014.695652173913,23
Maya Rudolph,6.052173913043479,6.033568721750818,5.986140690260328,2015.0869565217392,23
Nassar,7.3090909090909095,6.396698430429242,6.706759616401538,2014.7727272727273,22
Ken Jeong,5.79090909090909,5.809398022764179,5.763943192535839,2014.2272727272727,22
Bill Hader,6.368181818181818,6.39156745862139,6.282418228972409,2014.8181818181818,22
Bill Camp,6.8590909090909085,6.76726401292261,6.759839435403155,2016.090909090909,22
Nick Offerman,6.718181818181819,6.671018051685206,6.586208458643815,2014.6363636363637,22
Oscar Isaac,6.700000000000002,6.765043685732102,6.618947987696146,2014.8636363636363,22
