director,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,movies
Woody Allen,6.677777777777779,6.532467297238963,6.6183645714311465,9
Steven Soderbergh,6.55,6.595533923102861,6.478257716451484,8
Tyler Perry,5.1499999999999995,5.312634486130428,5.058734884291788,8
Clint Eastwood,6.7625,6.763713958665469,6.712667516677534,8
Mike Flanagan,6.457142857142857,6.567435728772492,6.312454636138045,7
David Gordon Green,6.285714285714286,6.302740737217285,6.17000204836914,7
Steven Spielberg,7.214285714285714,7.217542836591617,7.126373017307027,7
Ridley Scott,6.585714285714286,6.5952303945024955,6.535470372303975,7
Luc Besson,6.385714285714286,6.201680541564253,6.280741520883146,7
Paul Feig,6.483333333333333,6.595463507828726,6.335382887455428,6
Noah Baumbach,6.916666666666667,6.929598043367281,6.8096210573112215,6
Stephen Frears,6.45,6.4142879634452,6.4107556029253745,6
Anurag Kashyap,7.349999999999999,6.4194958077791995,6.982628796402875,6
Richard Linklater,7.1499999999999995,7.175978210479329,6.976106073258719,6
Bill Condon,6.2,6.195737710510007,6.059044394156011,6
Rohit Shetty,5.733333333333333,5.776728132226572,5.662400434926,6
Tim Burton,6.583333333333333,6.47346431443476,6.517438950460067,6
Hirokazu Koreeda,7.466666666666668,6.8040701144518865,7.1737330698634665,6
Ernie Barbarash,5.816666666666666,5.913793419675669,5.731522946110418,6
Michael Bay,6.133333333333334,6.106696605894065,6.044565700245212,6
Denis Villeneuve,7.8,7.800664351868451,7.718391737895359,6
Lasse Hallström,6.633333333333333,6.506053952410425,6.527026939622555,6
A.R. Murugadoss,7.116666666666666,6.383000676027031,6.460053495980634,6
Peter Berg,6.683333333333334,6.714516802191258,6.56581181105854,6
James Wan,7.033333333333332,7.048459338810605,6.905501124514451,6
Jason Reitman,6.58,6.500698340706116,6.508965968396964,5
Taika Waititi,7.779999999999999,7.71546657941894,7.610542287192082,5
Jaume Collet-Serra,6.58,6.504814791907284,6.509026909417872,5
Kenneth Branagh,6.140000000000001,6.339376698649322,6.098993076056279,5
Mike Mitchell,5.94,5.949716142199388,5.88466263647164,5
Mohit Suri,6.159999999999999,5.929284859342006,5.896359111118843,5
David Yates,7.18,7.232049670155982,7.031836685871951,5
Susanne Bier,6.58,6.290717318146562,6.481848153710688,5
Kevin Smith,5.42,5.6333732362395965,5.369576387873569,5
Tate Taylor,6.459999999999999,6.506747941600044,6.412185878699885,5
Ali Abbas Zafar,5.26,5.6421436649490975,5.380854351090765,5
Michael Winterbottom,6.460000000000001,6.33035514329967,6.3512861373858485,5
Michael Tiddes,4.6,5.001502183939306,4.6751782439755365,5
Sean Anders,6.26,6.228961417549474,6.166264442876326,5
Imtiaz Ali,6.58,6.2121714426063335,6.433569493962933,5
Rob Reiner,6.640000000000001,6.351366730931742,6.4821457016783794,5
Martin Scorsese,7.8,7.729861898314359,7.6662967474776735,5
David O. Russell,6.68,6.934640895063934,6.71784081980619,5
Ariel Schulman,5.68,5.817259185529858,5.59685664875351,5
Todd Phillips,6.859999999999999,6.700112135467046,6.852572263540905,5
Ben Wheatley,6.24,6.158569733961341,6.145805966184705,5
François Ozon,6.840000000000001,6.4296683875495315,6.6995108340982625,5
Johannes Roberts,5.1,5.414840065648992,5.125393558163286,5
Togan Gökbakar,3.4200000000000004,5.296553605092312,3.7435207151587044,5
