duration,weighted_average_vote,weighted_non_us_voters_rating,weighted_us_voters_rating
45,5.9,5.719626168224299,5.924262607040913
70,6.1,5.824342599549212,5.908759124087592
53,5.8,5.721905609973287,5.9090203685742
100,5.2,5.604977375565611,5.831400165700083
68,7.0,6.399815327793167,6.260752688172042
60,5.7,5.68467400508044,5.9
85,6.8,6.0439862542955325,5.985425812115891
120,6.2,5.766724436741768,5.8961538461538465
120,6.7,5.830837004405286,5.919512195121951
55,5.5,5.680898876404494,5.8901713255184855
121,6.6,5.823181049069374,5.962792877225867
54,7.0,6.307114624505928,6.298021697511167
96,7.1,6.1441737985516784,6.10990099009901
61,7.0,6.2015133876600705,6.21259842519685
90,6.2,5.724413145539906,5.910880316518299
50,6.5,5.768975069252077,5.9019801980198014
90,7.0,6.171974522292993,6.112977099236642
55,5.8,5.714298978644383,5.875285171102663
85,6.5,6.095551061678464,6.003703703703703
88,6.0,5.746621621621622,5.940127897681855
88,6.2,5.765831244778613,5.940484429065744
72,6.4,5.8229183841714764,5.941340782122905
78,6.4,5.877611940298507,6.122404027690372
70,6.5,5.735863377609109,5.938820171265461
148,7.1,6.44253859348199,6.45945945945946
52,6.0,5.738449111470113,6.048585795097424
124,7.5,5.954935622317597,6.02670349907919
59,6.9,6.163351749539595,6.154843517138599
63,5.8,5.706716417910448,5.907321594068582
60,6.8,5.966324284666178,6.197259311314125
84,7.0,5.987538940809969,5.9884580703336345
59,5.2,5.590166812993854,5.834728033472803
54,6.6,5.7859649122807015,6.0248151191454395
65,5.8,5.714456800684346,5.91304347826087
61,6.1,5.821448467966574,5.937106918238994
81,5.5,5.6568242640499555,5.870357751277684
199,6.3,5.739098954143202,6.231818181818182
74,5.7,5.7,5.8673854447439355
80,6.1,5.720670391061453,5.924060150375941
82,6.3,5.956809338521401,6.203459119496856
67,6.3,5.768800721370605,5.907699901283317
54,5.3,5.678927203065134,5.896711798839459
55,5.6,5.672786579683132,5.9104265402843605
54,6.4,5.783154121863799,5.945983379501385
56,5.7,5.693632958801498,5.896061479346782
65,6.6,5.746704331450093,5.997265268915224
52,6.2,5.746621621621622,5.938009049773756
195,6.3,6.324779712013754,6.252673923331756
59,6.4,5.86319018404908,5.9903563941299796
59,6.6,6.135347261434218,6.199549323985979
77,6.0,5.723352165725046,5.911504424778761
67,5.8,5.7,5.9
74,6.4,5.730516431924882,5.95245143385754
100,6.8,5.854170249355116,5.963636363636365
72,6.6,5.7913746630727765,5.968800721370605
67,5.9,5.708003679852806,5.9
71,5.6,5.6913875598086126,5.8830188679245285
50,6.1,5.707578558225509,5.8999999999999995
46,6.9,6.02472647702407,6.129746835443038
55,6.9,5.994139194139194,5.9898989898989905
72,6.8,6.06372155287818,6.169005847953216
421,7.3,6.6906621392190155,6.819148936170214
59,5.9,5.7087954110898655,5.89354536950421
105,6.2,5.834923790589794,6.0176291793313075
50,4.5,5.617507136060895,5.738753387533876
85,6.0,5.760632688927944,5.9
59,6.8,5.74448669201521,5.939543726235742
60,6.1,5.7409335727109525,5.9236611489776045
57,6.4,5.730075187969925,5.928571428571429
60,5.3,5.657456541628545,5.9
50,6.6,5.712206572769953,5.957492931196985
58,5.7,5.67243947858473,6.00414201183432
73,6.6,5.7280266920877025,5.9322731524789525
64,6.8,5.909286262471221,6.14698795180723
62,5.9,5.709160305343512,5.9
65,5.6,5.652422907488987,5.8616903146206045
163,7.8,7.4980155306298535,7.359477866061294
300,7.4,6.056798756798757,6.376404494382023
46,6.0,5.7,6.088759424263195
63,7.0,6.033457249070632,5.9951541850220265
50,4.7,5.612429378531073,5.804918032786885
50,6.5,5.736619718309859,5.929501915708812
45,5.6,5.680831826401446,5.903846153846154
116,6.4,5.7229916897506925,5.996551724137931
60,6.8,5.813475177304965,6.0015274034141965
63,6.2,5.738336347197107,5.998625429553265
52,5.3,5.66232427366448,5.8429592566118655
69,5.8,5.706103286384977,5.8987166831194475
62,6.3,5.759574468085106,5.986028257456829
61,5.9,5.68796992481203,5.9
53,6.0,5.75206611570248,5.913867355727821
125,6.5,5.776672694394214,5.981625441696113
72,6.1,5.734450651769087,5.910136452241716
65,6.1,5.708429118773947,5.916177861873226
97,6.5,5.910029498525073,5.953551912568306
138,6.5,5.804541701073493,5.9991416309012875
80,5.9,5.735915492957746,5.928774928774929
62,5.7,5.661324041811847,6.017514124293786
80,6.4,5.76044776119403,5.9017681728880165
68,6.7,5.776638965835641,5.997012302284711
112,7.1,6.00857823669579,5.955535390199636
65,6.7,5.932624113475177,6.256521739130434
70,6.4,5.721928166351607,5.931007751937985
78,6.1,5.719289749798224,6.08041958041958
91,5.7,5.674825174825175,5.967549668874172
87,6.9,5.791750687442713,5.922374877330717
57,6.2,5.7801847187237625,5.950549450549451
70,6.0,5.713193116634799,5.909302325581396
48,7.4,6.4502793296089385,6.31685393258427
52,6.0,5.728506787330317,5.926923076923077
48,4.8,5.6026565464895635,5.819458668617411
59,6.1,5.718320610687024,5.895510983763133
87,6.7,5.770506912442396,5.920388349514563
72,6.4,5.772759226713533,6.08301329394387
67,5.8,5.674216027874564,5.998522498321021
83,5.9,5.716849816849817,5.8920792079207915
63,5.5,5.6820344544708785,5.809337860780985
136,7.3,6.310320284697509,6.347540983606557
75,7.0,5.9685563114134546,6.190909090909091
60,6.0,5.694741966893865,5.905838041431261
70,6.0,5.750655021834062,5.9
94,5.9,5.707578558225509,5.910516066212269
48,6.2,5.7661101836394,5.973202614379085
62,5.4,5.66225165562914,5.9
117,6.4,5.8492525570417,6.02621492128679
50,6.1,5.730075187969925,5.91028403525955
72,5.1,5.654817586529467,5.770453008789723
73,6.5,5.734615384615385,5.92561669829222
71,5.2,5.650557620817844,5.76936026936027
93,5.9,5.630578512396694,6.025986078886311
60,6.4,5.7723562152133585,5.912558575445174
60,4.4,5.62721217887726,5.616332378223496
76,6.1,5.689525514771709,5.9768962510898005
60,5.1,5.56761565836299,5.866181336863005
45,7.3,6.866865186789388,6.787929773226043
84,6.7,5.919869470630893,6.330848036425726
73,5.7,5.677639751552795,5.9
418,7.0,5.820492524186456,6.036062557497701
80,5.9,5.696993210475267,5.915099715099715
86,6.8,5.8150090415913205,5.9653671804170445
50,7.0,6.1634491634491635,6.135474006116208
80,5.9,5.5150846210448865,6.022800718132855
60,7.2,6.3918103448275865,6.350203527815468
223,7.1,5.805109489051095,5.90392156862745
73,6.3,5.793495934959349,6.070184696569921
70,7.1,5.7627906976744185,5.980952380952381
99,7.0,6.200983405039951,6.205072967338429
90,7.3,6.972399672399672,6.954235613731786
63,5.7,5.619462465245598,6.027891156462585
85,6.5,5.826587005227783,6.33214082907439
63,5.9,5.686505190311419,6.043425272610648
71,6.6,5.828672427337,6.313489736070382
78,5.3,5.655555555555555,5.9
70,5.4,5.585663082437276,6.068435013262599
65,6.5,5.665250965250966,5.979087452471484
80,5.8,5.675592625109745,5.9
71,6.8,5.721928166351607,6.040139616055846
80,5.6,5.678864353312303,5.843347639484978
57,3.9,5.554399243140965,5.8332814930015555
87,5.6,5.667985280588777,5.981341107871721
122,7.3,6.276354679802956,6.176923076923078
78,6.7,5.803239556692242,6.338146811070999
45,6.9,6.146793349168647,6.102325581395349
207,6.9,5.765432098765432,5.894741966893866
166,7.7,6.453117206982544,6.549177090190916
76,8.1,8.009087465434297,7.851443123938879
116,7.0,6.0691029900332225,6.469085173501577
58,6.0,5.7,5.906201550387597
80,6.6,5.707887049659202,6.004109589041096
95,6.9,5.762792877225867,5.975496688741722
92,6.3,5.744958371877891,5.902056807051911
75,6.6,5.949240780911063,6.011400651465799
66,7.4,6.454334038054968,6.345020463847203
58,5.2,5.625069380203516,5.8999999999999995
77,4.9,5.609174311926606,5.8086419753086425
106,6.3,5.762365591397849,5.919101123595506
81,6.6,5.97888198757764,6.116058394160584
145,6.9,5.817944093778179,5.911822660098522
87,7.0,6.179711884753901,6.325153374233129
112,6.5,5.83665008291874,5.974145486415425
62,6.6,5.740287769784173,6.053356282271945
64,6.7,5.735315985130112,5.968702290076337
85,6.9,5.876406381192276,6.217406143344711
59,6.4,5.775982532751092,5.986503067484662
58,5.5,5.637735849056604,5.9
99,6.3,5.7518518518518515,5.891772771792361
100,6.6,5.917147192716237,5.975524475524476
50,6.4,5.665354330708662,5.962001943634598
136,6.7,5.88989898989899,5.920930232558139
167,6.7,6.062240107310529,6.05223880597015
69,7.0,6.4737122557726465,6.660922063666301
106,6.6,5.9035460992907804,6.018071242397915
93,6.2,5.739594843462247,5.906299212598426
88,6.6,5.7376811594202906,6.003139013452915
81,6.4,5.7737425404944585,5.94314096499527
88,6.0,5.7,5.978414839797639
76,7.2,6.775925925925925,6.638283955367449
71,5.1,5.65718418514947,5.800858369098712
80,7.1,5.8398739873987395,5.928125
86,6.9,5.816100178890877,5.936170212765958
60,6.2,5.714828897338403,5.92528735632184
60,6.2,5.718320610687024,5.9337824831568815
50,6.6,5.811908931698774,5.98635147190009
70,6.0,5.6720930232558135,5.922362052274928
54,6.8,5.842424242424243,5.973239436619719
64,6.7,5.838578680203046,5.931945788964183
73,6.7,5.967533380182713,6.171946964410328
60,4.9,5.638461538461539,6.004047838086477
70,5.9,5.700000000000001,5.917374517374518
79,7.1,6.185131358300727,6.521789883268482
107,6.6,5.807048458149779,5.911822660098522
86,6.5,5.722445081184337,5.951382268827455
109,5.7,5.6892147587511825,5.874725274725275
58,6.4,5.737991266375547,6.005648720211827
94,7.1,6.15277401894452,6.221417565485362
70,6.1,5.654750244857983,5.945173745173745
45,6.5,5.756617647058824,5.91840311587147
70,5.7,5.673786407766991,5.9
77,6.1,5.813200498132005,6.021448467966574
87,6.0,5.7,5.917514124293785
78,5.2,5.5962962962962965,6.112534818941505
104,6.4,5.879940564635959,5.977419354838709
75,6.3,5.7,5.952554744525548
84,6.1,5.779897285399853,5.9251748251748255
55,5.5,5.656044985941893,5.881954887218046
73,6.5,5.730956848030019,5.965420560747664
65,6.9,5.901277955271566,5.970037453183521
67,6.1,5.76804979253112,5.911853245531515
145,7.4,6.803927068723703,6.972817133443163
90,6.7,5.893479909021987,6.3496422674738575
79,6.3,5.950747756729811,6.173380511703865
75,6.8,5.895223179326547,6.2485342019543975
73,6.0,5.682160077145612,5.934615384615385
117,6.6,5.836392914653784,6.256295063782584
55,6.9,5.901663893510816,5.985793871866296
79,7.0,6.121789883268482,6.147286821705427
91,6.8,5.7971454058876,6.093563579277866
70,6.4,5.6286821705426355,5.97992277992278
72,6.6,5.9150684931506845,6.056541019955655
89,6.8,5.790780141843972,6.053976311336718
102,5.5,5.687793427230047,5.877478344562079
58,6.4,5.688450148075025,5.940866290018832
100,7.0,5.897621000820346,6.0067478912839745
90,6.4,5.640812379110252,5.983795881826321
87,6.5,5.722285174693107,5.944337811900192
150,7.2,6.333333333333333,6.748167126527395
131,7.0,5.92359641985354,5.979545454545455
50,6.8,5.820480854853073,5.930769230769231
100,6.7,5.800719424460431,5.965381083562902
120,6.6,5.794202898550725,5.949442379182156
84,6.8,5.841811846689895,5.93013698630137
68,8.3,8.249671899498656,8.06438679245283
107,8.1,7.718684461391802,7.434945586457074
56,6.1,5.689753320683113,5.940932642487048
112,6.7,5.7376811594202906,6.020863309352518
89,6.5,5.756505576208179,5.986740804106074
71,7.0,5.822800718132855,6.036170212765958
55,6.2,5.731182795698925,5.932892249527411
97,7.7,7.13310657596372,6.851760563380282
74,6.5,5.757798165137615,5.950046425255339
150,7.4,6.724460431654677,6.896981891348089
75,6.5,5.818604651162791,5.9991416309012875
91,6.7,5.764546304957905,5.925341130604289
47,6.9,6.010337401292174,6.184581171237954
